AvantiSensor1_ORIENT_W1,AvantiSensor1_ORIENT_X1,AvantiSensor1_ORIENT_Y1,AvantiSensor1_ORIENT_Z1,AvantiSensor2_ORIENT_W2,AvantiSensor2_ORIENT_X2,AvantiSensor2_ORIENT_Y2,AvantiSensor2_ORIENT_Z2
0.799118817,-0.078138821,-0.558832645,-0.207387462,0.550956428,0.014111321,-0.834337234,-0.011371798
0.799198508,-0.078035265,-0.558754504,-0.207329616,0.551500082,0.014397273,-0.8339746,-0.011270941
0.799309134,-0.077980645,-0.558608413,-0.207317919,0.551674426,0.014518891,-0.833858311,-0.011181675
0.799381196,-0.077931441,-0.558507562,-0.207329974,0.551615417,0.014708777,-0.833891511,-0.011363726
0.799390912,-0.077771135,-0.558497369,-0.20738034,0.551858485,0.014739828,-0.83372587,-0.011666602
0.799422026,-0.077723294,-0.558395803,-0.207551673,0.551948845,0.014880518,-0.833658814,-0.012015429
0.799411833,-0.077528462,-0.558406055,-0.20763649,0.551983356,0.014981523,-0.833628893,-0.012362355
0.799428105,-0.077339679,-0.558387518,-0.207693949,0.552168846,0.01487233,-0.833504379,-0.012603034
0.799433053,-0.077224277,-0.558323979,-0.20788832,0.552202106,0.014588019,-0.833485663,-0.012717821
0.799414814,-0.077214114,-0.558319509,-0.207974255,0.552240968,0.014539978,-0.833461106,-0.012695514
0.799429417,-0.077362143,-0.558207512,-0.2081642,0.552046299,0.014542084,-0.833590269,-0.012679931
0.799473107,-0.077376857,-0.558140516,-0.20817019,0.552155018,0.014317727,-0.833517671,-0.01296736
0.799554765,-0.07726109,-0.558004737,-0.208263218,0.55268538,0.014037372,-0.833167017,-0.013216566
0.799614429,-0.077251501,-0.557871938,-0.208393514,0.553152621,0.01405053,-0.832855344,-0.013302355
0.799583673,-0.077272952,-0.557867885,-0.208514631,0.553596735,0.014077779,-0.832560062,-0.013275811
0.799607396,-0.07724832,-0.557837725,-0.208512932,0.553770244,0.013940041,-0.832449138,-0.013139094
0.79960829,-0.077226862,-0.557844698,-0.208499521,0.553354681,0.013937624,-0.83272779,-0.01299502
0.799513698,-0.0773931,-0.557939529,-0.208546609,0.552915394,0.013965165,-0.833018005,-0.0130594
0.799476564,-0.077436358,-0.55797857,-0.208567917,0.552805781,0.013958391,-0.833087742,-0.01325587
0.799445927,-0.077438571,-0.558010876,-0.20859836,0.552745581,0.013935077,-0.833123803,-0.013521202
0.799416602,-0.077354982,-0.558050811,-0.208635181,0.553064704,0.013929528,-0.832910717,-0.013610185
0.79949075,-0.077325694,-0.557908595,-0.208742157,0.553371608,0.014063959,-0.832707524,-0.013427035
0.799583316,-0.07726936,-0.557777882,-0.208757952,0.553655386,0.014242036,-0.832519114,-0.013228131
0.799705505,-0.077202633,-0.557621181,-0.208733529,0.554091334,0.014304103,-0.832229435,-0.013135482
0.799819887,-0.077264562,-0.557424188,-0.208797991,0.55427444,0.014349387,-0.832106709,-0.013130831
0.79991734,-0.077263519,-0.557284653,-0.208797336,0.554729342,0.01465331,-0.831796646,-0.01323967
0.80007714,-0.077063762,-0.557077765,-0.208811522,0.555628538,0.014817852,-0.83119154,-0.013341077
0.800243914,-0.076915033,-0.556825995,-0.208898515,0.556118727,0.014952163,-0.830862224,-0.01328189
0.800256729,-0.076852635,-0.556802869,-0.208934173,0.556079626,0.015231698,-0.830885172,-0.013169269
0.800311983,-0.076730072,-0.556756616,-0.208890617,0.555940986,0.015326094,-0.830977857,-0.013065483
0.800353765,-0.076686859,-0.556714654,-0.208858147,0.55552423,0.015316788,-0.831256509,-0.013075418
0.800283134,-0.076763086,-0.556806624,-0.208855659,0.555311859,0.015425239,-0.831395924,-0.013097269
0.800238729,-0.076737784,-0.556879759,-0.208840385,0.555167794,0.015589267,-0.831488967,-0.013114056
0.800172687,-0.076700896,-0.556986928,-0.208821207,0.555094481,0.015714249,-0.831534386,-0.013187778
0.800135791,-0.076612331,-0.557051063,-0.208824202,0.555206895,0.015742496,-0.831458807,-0.013188471
0.800154269,-0.076573454,-0.557021081,-0.208847389,0.555270195,0.015837096,-0.831416488,-0.013073953
0.800186396,-0.076564088,-0.55696851,-0.208867967,0.555200398,0.016008181,-0.831463397,-0.012838361
0.800251186,-0.076519586,-0.556911528,-0.208787605,0.555357695,0.016044118,-0.831358254,-0.012800724
0.80032891,-0.076497175,-0.556814075,-0.208758265,0.555417955,0.015801787,-0.83132261,-0.012806185
0.800350189,-0.076542914,-0.556770384,-0.208776385,0.555276692,0.01580584,-0.831419885,-0.012610839
0.80041635,-0.076616354,-0.556639433,-0.208844945,0.555320799,0.016156053,-0.831384897,-0.012528483
0.800474584,-0.076482929,-0.556589663,-0.208803579,0.555704117,0.01608124,-0.831130445,-0.012510696
0.800548792,-0.076429099,-0.556501091,-0.208774865,0.555870175,0.015978403,-0.83102107,-0.012532298
0.800499499,-0.076446652,-0.556562185,-0.208794773,0.555849135,0.016125595,-0.831031322,-0.012593581
0.800453961,-0.076480053,-0.556608677,-0.208832756,0.555803418,0.016103188,-0.831061304,-0.012664233
